Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
muse-set-indigo,Muse Set - Indigo,"<div class=""product-description"">Sleeveless, intentional, elegant.<br>The Muse Set pairs a structured vest top with wide-leg trousers in deep indigo Kala cotton, bringing together ease and detail.<br>The top features a soft lapel neckline and gently curved hem panels that shape the silhouette without adding stiffness. Hand embroidery runs along the front opening and panel edges, not as a pattern, but as a line of detail that highlights the construction itself. Subtle, deliberate, and easy to notice up close.<br>The trousers complete the set with balance. Wide-legged and fluid, they move with ease while holding a clean, polished line.<br>The kind of outfit that needs no accessories. The kind that becomes one.</div>
<div class=""fabric-fit"">
<h4>Fabric &amp; Fit</h4>Fabric: Kala Cotton <br>Color: Yarn dyed Indigo<br>Top Fit: Comfort, Length: 21""<br>Pant Fit: Wide Leg, Length: 42"" across all sizes<br>Model Fit: Model is 5'7""/ wearing size S</div>
<div class=""washcare"">
<h4>Care Instructions</h4>Care :<br>● Wash in cold water only<br>● Use a mild detergent<br>● Wash separately, especially during initial washes<br>● Air dry in shade; avoid direct sunlight<br>● Do not wring or scrub harshly<br>● Iron on low heat, inside out<br>● Avoid bleach and harsh chemicals<br>● Do not overwash: allow the fabric to breathe between wears<br>● Spot clean gently when needed<br><br>Note :<br>● Wash separately for the first few washes, as slight colour release may occur.<br>● Garments with hand embroidery are best cared for through dry cleaning.<br>● Subtle variations in colour and texture are natural. Each piece is unique.<br>Just a little care, and the fabric will take care of the rest.</div>",Soulmead,,Co-ord Set,"Co-ord Set, Indigo",true,Size,XS,,,,,,,,WT08- WP04-Indigo-XS,0.0,shopify,10,deny,manual,14680.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03337.jpg?v=1775123070,1,,false,,,,kg,,,active
muse-set-indigo,,,,,,,,,S,,,,,,,,WT08- WP04-Indigo-S,0.0,shopify,10,deny,manual,14680.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03345.jpg?v=1775123076,2,,,,,,kg,,,
muse-set-indigo,,,,,,,,,M,,,,,,,,WT08- WP04-Indigo-M,0.0,shopify,10,deny,manual,14680.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03349.jpg?v=1775123082,3,,,,,,kg,,,
muse-set-indigo,,,,,,,,,L,,,,,,,,WT08- WP04-Indigo-L,0.0,shopify,10,deny,manual,14680.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03365.jpg?v=1775123088,4,,,,,,kg,,,
muse-set-indigo,,,,,,,,,XL,,,,,,,,WT08- WP04-Indigo-XL,0.0,shopify,10,deny,manual,14680.00,,true,true,,,,,,,,,,,,,kg,,,
poise-set-sage-green,Poise Set - Sage Green,"<div class=""product-description"">In sage green, this co-ord becomes something else entirely.<br>The Poise Set brings together a structured corset-style top and high-waisted shorts, built on clean lines and quiet strength.<br>The top is defined by its high-low hemline, structured through the body while still allowing movement. Along the neckline, hand-embroidered French knots, wooden beads, and shell elements catch light differently against the cloth. The hand-embroidered fabric buttons on each side remain deliberate, functional, beautiful.<br>The shorts brings balance to the look. High-waisted with front pleats and stitch line finishing, they hold structure while staying easy to wear.<br>A co-ord that earns its silhouette.</div>
<div class=""fabric-fit"">
<h4>Fabric &amp; Fit</h4>Fabric: 100% Hemp<br>Color: Yarn dyed Sage Green<br>Top Fit: Structured, Length: Front-20"" &amp; Back-23""<br>Short Fit: Comfort, Length: 14.25"" <br>Model Fit: Model is 5'6""/ wearing size S<br>
</div>
<div class=""washcare"">
<h4>Care Instructions</h4>Care :<br>● Wash in cold water (below 30°C) <br>● Use a mild, pH-neutral detergent <br>● Hand wash or gentle machine cycle <br>● Air dry in shade; avoid high heat      <br>● Iron on low to medium heat, preferably when slightly damp <br>● Avoid bleach and harsh chemicals <br>● Do not overwash: air between wears to keep it fresh <br>● Spot clean when possible instead of full washing <br><br>Note :<br>● Wash separately for the first few washes, as slight colour release may occur. <br>● Garments with hand embroidery are best cared for through dry cleaning. <br>● Subtle variations in colour and texture are natural. Each piece is unique. Just a little care, and the fabric will take care of the rest.</div>",Soulmead,,Co-ord Set,"Co-ord Set, Sage Green",true,Size,XS,,,,,,,,WT07- WSH02-SageGreen-XS,0.0,shopify,10,deny,manual,12980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03916.jpg?v=1775123037,1,,false,,,,kg,,,active
poise-set-sage-green,,,,,,,,,S,,,,,,,,WT07- WSH02-SageGreen-S,0.0,shopify,10,deny,manual,12980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03917.jpg?v=1775123042,2,,,,,,kg,,,
poise-set-sage-green,,,,,,,,,M,,,,,,,,WT07- WSH02-SageGreen-M,0.0,shopify,10,deny,manual,12980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03924.jpg?v=1775123049,3,,,,,,kg,,,
poise-set-sage-green,,,,,,,,,L,,,,,,,,WT07- WSH02-SageGreen-L,0.0,shopify,10,deny,manual,12980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03937.jpg?v=1775123054,4,,,,,,kg,,,
poise-set-sage-green,,,,,,,,,XL,,,,,,,,WT07- WSH02-SageGreen-XL,0.0,shopify,10,deny,manual,12980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03942.jpg?v=1775123060,5,,,,,,kg,,,
poise-set-sage-green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03949.jpg?v=1775123065,6,,,,,,,,,
poise-set-dusty-black,Poise Set - Dusty Black,"<div class=""product-description"">In dusty black, this co-ord becomes something else.<br>The Poise Set brings together a structured corset-style top and high-waisted shorts, built on clean lines and quiet strength.<br>The top is defined by its high-low hemline, structured through the body while still allowing movement. Along the neckline, hand-embroidered French knots, wooden beads, and shell elements catch light subtly against the dark cloth. Fabric buttons placed along the sides remain both functional and intentional.<br>The shorts brings balance to the look. High-waisted with front pleats and visible stitch line detailing, they hold structure while staying easy to wear.<br>A set that doesn’t try too hard, but still holds presence.</div>
<div class=""fabric-fit"">
<h4>Fabric &amp; Fit</h4>Fabric: Hemp Cotton<br>Color: Azo free dyed Dusty Black<br>Top Fit: Structured, Length: Front-20"" &amp; Back-23""<br>Short Fit: Comfort, Length: 14.25""<br>Model Fit: Model is 5'7""/ wearing size S<br>
</div>
<div class=""washcare"">
<h4>Care Instructions</h4>Care :<br>● Wash in cold water<br>● Use a gentle detergent<br>● Machine wash on a mild cycle or hand wash<br>● Air dry preferred, or tumble dry on low heat<br>● Iron on low heat<br>● Avoid bleach and harsh chemicals<br>● Do not overwash: air between wears<br>● Spot clean for small stains instead of full washing<br><br>Note:<br>● Wash separately for the first few washes, as slight colour release may occur.<br>● Garments with hand embroidery are best cared for through dry cleaning.<br>● Subtle variations in colour and texture are natural. Each piece is unique.<br>Just a little care, and the fabric will take care of the rest.</div>",Soulmead,,Co-ord Set,"Co-ord Set, Dusty Black",true,Size,XS,,,,,,,,WT07- WSH02-DustyBlack-XS,0.0,shopify,10,deny,manual,12980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC04148.jpg?v=1775123002,1,,false,,,,kg,,,active
poise-set-dusty-black,,,,,,,,,S,,,,,,,,WT07- WSH02-DustyBlack-S,0.0,shopify,10,deny,manual,12980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC04154.jpg?v=1775123015,2,,,,,,kg,,,
poise-set-dusty-black,,,,,,,,,M,,,,,,,,WT07- WSH02-DustyBlack-M,0.0,shopify,10,deny,manual,12980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC04160.jpg?v=1775123020,3,,,,,,kg,,,
poise-set-dusty-black,,,,,,,,,L,,,,,,,,WT07- WSH02-DustyBlack-L,0.0,shopify,10,deny,manual,12980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC04168.jpg?v=1775123025,4,,,,,,kg,,,
poise-set-dusty-black,,,,,,,,,XL,,,,,,,,WT07- WSH02-DustyBlack-XL,0.0,shopify,10,deny,manual,12980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC04174.jpg?v=1775123031,5,,,,,,kg,,,
cross-set-pearl-white,Cross Set - Pearl White,"<div class=""product-description"">Quiet luxury doesn't announce itself.<br>The Cross Set understands this. A wrap top paired with a cropped straight pant, both built on clarity, precision, and restraint.<br>The top is cut in a wrap silhouette, structured at the waist and clean through the lines. It holds shape without feeling rigid. Shell beads finish the wrap end, a single detail that defines the piece. Nothing extra, nothing without intention.<br>The pant follows with equal ease. Cropped, straight, and relaxed, designed to ground the look without taking away from it. The kind of bottom that lets the top stand, while still holding its own.<br>Minimal. Controlled. Exactly the right amount of considered.</div>
<div class=""fabric-fit"">
<h4>Fabric &amp; Fit</h4>Fabric: Hemp Cotton<br>Color: Pearl White<br>Top Fit: Structured, Length: 24""<br>Pant Fit: Relaxed Straight, Length: 32.5""<br>Model Fit: Model is 5'6"" / wearing size S</div>
<div class=""washcare"">
<h4>Care Instructions</h4>Care :<br>● Wash in cold water<br>● Use a gentle detergent<br>● Machine wash on a mild cycle or hand wash<br>● Air dry preferred, or tumble dry on low heat<br>● Iron on low heat<br>● Avoid bleach and harsh chemicals<br>● Do not overwash: air between wears<br>● Spot clean for small stains instead of full washing<br><br>Note:<br>● Wash separately for the first few washes, as slight colour release may occur.<br>● Garments with hand embroidery are best cared for through dry cleaning.<br>● Subtle variations in colour and texture are natural. Each piece is unique.<br>Just a little care, and the fabric will take care of the rest.</div>",Soulmead,,Co-ord Set,"Co-ord Set, Pearl White",true,Size,XS,,,,,,,,WT06-WP05-PearlWhite-XS,0.0,shopify,10,deny,manual,13380.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC04179_copy.jpg?v=1775122963,1,,false,,,,kg,,,active
cross-set-pearl-white,,,,,,,,,S,,,,,,,,WT06-WP05-PearlWhite-S,0.0,shopify,10,deny,manual,13380.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC04186_copy.jpg?v=1775122968,2,,,,,,kg,,,
cross-set-pearl-white,,,,,,,,,M,,,,,,,,WT06-WP05-PearlWhite-M,0.0,shopify,10,deny,manual,13380.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC04192_copy.jpg?v=1775122974,3,,,,,,kg,,,
cross-set-pearl-white,,,,,,,,,L,,,,,,,,WT06-WP05-PearlWhite-L,0.0,shopify,10,deny,manual,13380.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC04208_copy.jpg?v=1775122980,4,,,,,,kg,,,
cross-set-pearl-white,,,,,,,,,XL,,,,,,,,WT06-WP05-PearlWhite-XL,0.0,shopify,10,deny,manual,13380.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC04211_copy.jpg?v=1775122986,5,,,,,,kg,,,
cross-set-pearl-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC04219_copy.jpg?v=1775122991,6,,,,,,,,,
cross-set-pearl-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC04223_copy.jpg?v=1775122997,7,,,,,,,,,
let-it-be-set-ecru,Let It Be Set - Ecru,"<div class=""product-description"">Effortless from morning to evening, this is the co-ord that moves with you.<br>The Let It Be Set brings together a sleeveless vest and wide culotte pants in natural ecru Kala cotton. Easy, breathable, and detailed.<br>The vest is cut with a sharp V-neckline and finished with a back tie that lets you adjust the fit as you like. A curved hem softens the structure. Across the front, hand-embroidered French knots, wooden beads, and shell fragments are scattered like seeds on open earth, irregular, intentional, alive.<br>The pants follow with the same ease. High-waisted with a wide culotte silhouette that falls with quiet movement. A half-belt, half-elastic waist allows comfort without losing shape. Deep pockets complete the piece.<br>Monochromatic in undyed ecru, the colour remains as the fabric is made. No pigment, no processing. Just cloth and craft.</div>
<div class=""fabric-fit"">
<h4>Fabric &amp; Fit</h4>Fabric: Kala Cotton <br>Color: Ecru<br>Top Fit: Comfort, Length: 22""<br>Pant Fit: Cullotes, Length:33.5""<br>Model Fit: Model is 5'6""/ wearing size S</div>
<div class=""washcare"">
<h4>Care Instructions</h4>Care :<br>● Wash in cold water only<br>● Use a mild detergent<br>● Wash separately, especially during initial washes<br>● Air dry in shade; avoid direct sunlight<br>● Do not wring or scrub harshly<br>● Iron on low heat, inside out<br>● Avoid bleach and harsh chemicals<br>● Do not overwash: allow the fabric to breathe between wears<br>● Spot clean gently when needed<br><br>Note :<br>● Wash separately for the first few washes, as slight colour release may occur.<br>● Garments with hand embroidery are best cared for through dry cleaning.<br>● Subtle variations in colour and texture are natural. Each piece is unique.<br>Just a little care, and the fabric will take care of the rest.</div>",Soulmead,,Co-ord Set,"Co-ord Set, Ecru",true,Size,XS,,,,,,,,WT05- WP06-Ecru-XS,0.0,shopify,10,deny,manual,14980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03089.jpg?v=1775122934,1,,false,,,,kg,,,active
let-it-be-set-ecru,,,,,,,,,S,,,,,,,,WT05- WP06-Ecru-S,0.0,shopify,10,deny,manual,14980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03092.jpg?v=1775122940,2,,,,,,kg,,,
let-it-be-set-ecru,,,,,,,,,M,,,,,,,,WT05- WP06-Ecru-M,0.0,shopify,10,deny,manual,14980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03094.jpg?v=1775122945,3,,,,,,kg,,,
let-it-be-set-ecru,,,,,,,,,L,,,,,,,,WT05- WP06-Ecru-L,0.0,shopify,10,deny,manual,14980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03117.jpg?v=1775122951,4,,,,,,kg,,,
let-it-be-set-ecru,,,,,,,,,XL,,,,,,,,WT05- WP06-Ecru-XL,0.0,shopify,10,deny,manual,14980.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0996/6485/5319/files/DSC03119.jpg?v=1775122957,5,,,,,,kg,,,
